DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2013;Kreuzlingen;4681;Langrickenbach;766;227;1;1;225;204;21;29.63
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2013;Kreuzlingen;4683;Lengwil;876;238;6;0;232;189;43;27.17
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2014;Münchwilen;4741;Lommis;770;177;2;0;175;147;28;22.99
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2012;Frauenfeld;4826;Mammern;347;127;1;1;125;100;25;36.6
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2015;Weinfelden;4941;Märstetten;1705;463;3;4;456;407;49;27.16
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2012;Frauenfeld;4591;Matzingen;1600;300;2;3;295;256;39;18.75
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2012;Frauenfeld;4831;Müllheim;1773;349;10;10;329;261;68;19.68
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2014;Münchwilen;4746;Münchwilen;3042;630;7;5;618;511;107;20.71
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2013;Kreuzlingen;4691;Münsterlingen;1515;459;9;1;449;393;56;30.3
2011.05.15;Volksinitiative Ja zu effizienter und erneuerbarer Energie - natürlich Thurgau!;1;Volksinitiative;2012;Frauenfeld;4601;Neunforn;731;201;9;0;192;160;32;27.5
